,city_state,population,lat,lng
9730,"New York, NY",19354922.0,40.6943,-73.9249
14121,"Los Angeles, CA",12815475.0,34.1139,-118.4068
16289,"Chicago, IL",8675982.0,41.8373,-87.6862
2882,"Miami, FL",6381966.0,25.7839,-80.2102
4464,"Dallas, TX",5733259.0,32.7936,-96.7662
11154,"Philadelphia, PA",5637884.0,40.0077,-75.1339
5553,"Houston, TX",5446468.0,29.7869,-95.3905
697,"Washington, DC",5289420.0,38.9047,-77.0163
17464,"Atlanta, GA",5228750.0,33.7627,-84.4225
19203,"Boston, MA",4637537.0,42.3188,-71.0846
19443,"Phoenix, AZ",4081849.0,33.5722,-112.0891
106,"Seattle, WA",3643765.0,47.6211,-122.3244
13995,"San Francisco, CA",3603761.0,37.7562,-122.443
24912,"Detroit, MI",3522206.0,42.3834,-83.1024
12999,"San Diego, CA",3210314.0,32.8312,-117.1225
24417,"Minneapolis, MN",2926757.0,44.9635,-93.2678
2065,"Tampa, FL",2804240.0,27.9942,-82.4451
12400,"Denver, CO",2787266.0,39.7621,-104.8759
9496,"Brooklyn, NY",2629150.0,40.6501,-73.9496
9216,"Queens, NY",2333054.0,40.7498,-73.7976
20475,"Baltimore, MD",2170504.0,39.3051,-76.6144
14236,"Riverside, CA",2084749.0,33.9381,-117.3948
23638,"St. Louis, MO",2078283.0,38.6358,-90.2451
11731,"Las Vegas, NV",2073045.0,36.2333,-115.2654
28361,"Portland, OR",2052796.0,45.5371,-122.65
4576,"San Antonio, TX",2002530.0,29.4658,-98.5254
12957,"Sacramento, CA",1854698.0,38.5667,-121.4683
14283,"San Jose, CA",1821899.0,37.3021,-121.8489
2196,"Orlando, FL",1776841.0,28.4772,-81.3369
22568,"Cleveland, OH",1730363.0,41.4767,-81.6805
10478,"Pittsburgh, PA",1715297.0,40.4396,-79.9763
22002,"Cincinnati, OH",1648254.0,39.1412,-84.506
9308,"Manhattan, NY",1643734.0,40.7834,-73.9662
5600,"Austin, TX",1638716.0,30.3006,-97.7517
23117,"Kansas City, MO",1615621.0,39.1239,-94.5541
