,city_state,population
9730,"New York, NY",19354922.0
14121,"Los Angeles, CA",12815475.0
16289,"Chicago, IL",8675982.0
2882,"Miami, FL",6381966.0
4464,"Dallas, TX",5733259.0
11154,"Philadelphia, PA",5637884.0
5553,"Houston, TX",5446468.0
697,"Washington, DC",5289420.0
17464,"Atlanta, GA",5228750.0
19203,"Boston, MA",4637537.0
19443,"Phoenix, AZ",4081849.0
106,"Seattle, WA",3643765.0
13995,"San Francisco, CA",3603761.0
24912,"Detroit, MI",3522206.0
12999,"San Diego, CA",3210314.0
24417,"Minneapolis, MN",2926757.0
2065,"Tampa, FL",2804240.0
12400,"Denver, CO",2787266.0
9496,"Brooklyn, NY",2629150.0
9216,"Queens, NY",2333054.0
20475,"Baltimore, MD",2170504.0
14236,"Riverside, CA",2084749.0
23638,"St. Louis, MO",2078283.0
11731,"Las Vegas, NV",2073045.0
28361,"Portland, OR",2052796.0
4576,"San Antonio, TX",2002530.0
12957,"Sacramento, CA",1854698.0
14283,"San Jose, CA",1821899.0
2196,"Orlando, FL",1776841.0
22568,"Cleveland, OH",1730363.0
10478,"Pittsburgh, PA",1715297.0
22002,"Cincinnati, OH",1648254.0
9308,"Manhattan, NY",1643734.0
5600,"Austin, TX",1638716.0
23117,"Kansas City, MO",1615621.0
17945,"Indianapolis, IN",1564699.0
21652,"Columbus, OH",1528314.0
12320,"Virginia Beach, VA",1480383.0
7152,"Charlotte, NC",1467362.0
9283,"Bronx, NY",1455720.0
1150,"Milwaukee, WI",1377808.0
11641,"Providence, RI",1206642.0
2646,"Jacksonville, FL",1156291.0
22698,"Salt Lake City, UT",1098400.0
8671,"Nashville, TN",1076645.0
8810,"Memphis, TN",1068873.0
12233,"Richmond, VA",1059907.0
5885,"New Orleans, LA",1029123.0
6919,"Raleigh, NC",1018336.0
27640,"Louisville, KY",1011696.0
20983,"Oklahoma City, OK",955998.0
20009,"Bridgeport, CT",938406.0
9353,"Buffalo, NY",926261.0
20060,"Hartford, CT",914751.0
5800,"Fort Worth, TX",874168.0
19436,"Tucson, AZ",868391.0
4478,"El Paso, TX",845674.0
1928,"Honolulu, HI",833671.0
8204,"Omaha, NE",827786.0
4348,"McAllen, TX",800904.0
3742,"Albuquerque, NM",758523.0
14439,"Birmingham, AL",744189.0
22131,"Dayton, OH",718169.0
9493,"Rochester, NY",711998.0
2492,"Sarasota, FL",706245.0
14036,"Fresno, CA",698021.0
10988,"Allentown, PA",682899.0
21235,"Tulsa, OK",672054.0
12949,"Concord, CA",654770.0
2519,"Cape Coral, FL",630134.0
